Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|010100|комплектация|изготовление|контроль|010101|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|060101|комплектация|изготовление|контроль|010104|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010303|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010402|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000413|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000414|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000415|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000416|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000417|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000418|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000419|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000474|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000475|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000476|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000477|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000478|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000479|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000594|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000595|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000596|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000597|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000598|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000599|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AC|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AD|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AE|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005AF|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005B0|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |4|Шайба C.16.01.016 ГОСТ 11371-78|||0x1080005B1|1|0.0109|+|96|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D4|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D5|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D6|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D7|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D8|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D9|1|0.116|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000534|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000535|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000536|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000537|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000538|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000539|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C4|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C5|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C6|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C7|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C8|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |4|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C9|1|0.132|+|24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DC|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DD|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DE|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DF|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005E0|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |4|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005E1|1|0.039|+|48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
